SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,DAYS_IN_PERIOD,NB_OF_BILLS,TOTAL_BILLS
12345_GEO (0001BB),2018-01-01,2018-01-31,2 447,"316,46",30,35,35
12345_GEO (0001BB),2018-01-02,2018-02-28,2 211,"286,82",57,35,35
12345_GEO (0001BB),2018-01-03,2018-03-31,2 450,"317,32",87,35,35
12345_GEO (0001BB),2018-01-04,2018-04-30,2 431,"315,00",116,35,35
12345_GEO (0001BB),2018-01-05,2018-05-31,2 574,"333,37",146,35,35
12345_GEO (0001BB),2018-01-06,2018-06-30,2 830,"365,27",175,35,35
12345_GEO (0001BB),2018-01-07,2018-07-31,3 028,"390,39",205,35,35
12345_GEO (0001BB),2018-01-08,2018-08-31,3 053,"393,99",235,35,35
12345_GEO (0001BB),2018-01-09,2018-09-30,2 915,"378,35",264,35,35
12345_GEO (0001BB),2018-01-10,2018-10-31,2 986,"387,05",294,35,35
12345_GEO (0001BB),2018-01-11,2018-11-30,2 871,"372,47",323,35,35
12345_GEO (0001BB),2018-01-12,2018-12-31,3 086,"399,30",353,35,35
12345_GEO (0001BB),2019-01-01,2019-01-31,3 094,"381,40",30,35,35
12345_GEO (0001BB),2019-01-02,2019-02-28,2 767,"345,87",57,35,35
12345_GEO (0001BB),2019-01-03,2019-03-31,3 059,"378,18",87,35,35
12345_GEO (0001BB),2019-01-04,2019-04-30,2 761,"340,84",116,35,35
12345_GEO (0001BB),2019-01-05,2019-05-31,2 844,"349,26",146,35,35
12345_GEO (0001BB),2019-01-06,2019-06-30,3 009,"369,19",175,35,35
12345_GEO (0001BB),2019-01-07,2019-07-31,3 016,"371,20",205,35,35
12345_GEO (0001BB),2019-01-08,2019-08-31,3 089,"380,42",235,35,35
12345_GEO (0001BB),2019-01-09,2019-09-30,2 914,"361,36",264,35,35
12345_GEO (0001BB),2019-01-10,2019-10-31,2 963,"366,70",294,35,35
12345_GEO (0001BB),2019-01-11,2019-11-30,2 797,"345,89",323,35,35
12345_GEO (0001BB),2019-01-12,2019-12-31,2 859,"353,08",353,35,35
12345_GEO (0001BB),2020-01-01,2020-01-31,2 863,"414,93",30,35,35
12345_GEO (0001BB),2020-01-02,2020-02-29,2 663,"387,22",58,35,35
12345_GEO (0001BB),2020-01-03,2020-03-31,2 759,"403,25",88,35,35
12345_GEO (0001BB),2020-01-04,2020-04-30,2 680,"390,79",117,35,35
12345_GEO (0001BB),2020-01-05,2020-05-31,2 797,"407,48",147,35,35
12345_GEO (0001BB),2020-01-06,2020-06-30,2 796,"407,77",176,35,35
12345_GEO (0001BB),2020-01-07,2020-07-31,2 952,"429,09",206,35,35
12345_GEO (0001BB),2020-01-08,2020-08-31,3 014,"435,98",236,35,35
